number,region,comps_attended,sigs_attended,worlds_qual,trueskill,trueskill_ranking,opr,dpr,ccwm,ap_per_match,awp_per_match,wp_per_match,drive_score,auto_score
16868C,Ontario,9,4,True,22.1,1546.0,15.1,12.4,2.7,3.0,0.24,1.5,52.0,50.0
17924A,Ontario,7,0,False,22.8,1104.0,16.9,9.3,7.6,2.8,0.24,1.7,55.0,43.0
17924B,Ontario,7,0,False,22.2,1468.0,18.8,10.6,8.3,4.5,0.2,1.6,51.0,42.0
18080V,Ontario,4,0,False,19.2,4071.0,9.0,9.0,0.0,3.1,0.15,1.4,30.0,10.0
19109A,Ontario,6,0,True,20.4,2925.0,15.5,12.7,2.8,3.5,0.16,1.5,53.0,46.0
21520A,Ontario,3,0,False,22.5,1313.0,13.6,6.0,7.5,4.2,0.12,1.5,34.0,20.0
21520B,Ontario,3,0,False,17.7,5708.0,8.0,8.9,-0.9,2.0,0.0,0.9,39.0,26.0
26752N,Ontario,4,0,False,18.3,5032.0,11.0,7.2,3.8,2.5,0.12,1.3,41.0,15.0
29295A,Ontario,6,0,True,21.2,2203.0,15.4,11.6,3.8,2.7,0.21,1.4,55.0,51.0
29295B,Ontario,4,0,False,20.0,3301.0,14.2,8.9,5.3,3.5,0.25,1.6,37.0,15.0
29295D,Ontario,4,0,False,17.1,6385.0,11.6,14.1,-2.4,2.1,0.07,0.7,41.0,0.0
31331A,Ontario,4,0,False,16.9,6599.0,6.5,13.6,-7.0,1.4,0.0,0.5,32.0,29.0
31331B,Ontario,4,0,False,17.6,5826.0,10.0,13.4,-3.3,2.2,0.04,0.9,29.0,10.0
41977B,Ontario,3,0,False,17.5,5947.0,7.6,11.4,-3.9,2.9,0.05,1.1,38.0,0.0
45250F,Ontario,6,0,True,22.0,1618.0,16.8,6.1,10.6,3.2,0.18,1.5,57.0,34.0
45250G,Ontario,5,0,False,19.4,3876.0,5.6,16.2,-10.6,2.5,0.15,0.7,32.0,16.0
45250J,Ontario,5,0,False,18.2,5141.0,9.5,14.3,-4.8,1.8,0.0,0.8,37.0,12.0
45250K,Ontario,5,0,False,19.7,3601.0,10.6,9.8,0.8,3.5,0.06,1.3,39.0,13.0
45250Y,Ontario,5,0,False,17.7,5708.0,9.8,11.0,-1.2,2.6,0.18,0.9,37.0,21.0
48700X,Ontario,4,1,False,17.6,5826.0,12.4,14.9,-2.4,2.9,0.29,1.2,29.0,8.0
81208X,Ontario,10,2,True,24.9,312.0,18.7,7.2,11.5,3.3,0.15,1.6,53.0,42.0
82855G,Ontario,5,0,False,18.2,5141.0,7.8,12.8,-5.1,1.9,0.06,0.9,31.0,30.0
82855S,Ontario,8,1,True,20.4,2925.0,15.5,9.1,6.3,3.2,0.3,1.6,53.0,49.0
82855T,Ontario,7,0,True,21.9,1688.0,15.3,11.8,3.4,3.8,0.32,1.8,49.0,48.0
82855X,Ontario,6,0,True,22.2,1468.0,13.8,7.8,6.1,4.3,0.44,2.0,59.0,52.0
82855Y,Ontario,7,1,False,19.5,3781.0,10.1,14.6,-4.5,2.1,0.05,0.8,37.0,5.0
82855Z,Ontario,7,0,True,23.1,942.0,17.6,11.6,6.0,4.0,0.22,1.6,56.0,52.0
91536A,Ontario,2,0,False,17.3,6161.0,15.5,15.6,-0.2,2.1,0.14,1.3,27.0,13.0
95500A,Ontario,4,0,False,16.4,7127.0,8.3,13.0,-4.7,2.2,0.08,0.8,35.0,13.0
97779A,Ontario,5,0,False,21.0,2371.0,11.8,8.7,3.1,2.1,0.09,1.3,39.0,17.0
97779X,Ontario,5,0,False,21.3,2133.0,13.9,9.0,4.9,2.8,0.09,1.5,32.0,34.0
6844B,South Dakota,9,1,False,24.7,368.0,16.7,9.5,7.2,4.6,0.17,1.6,41.0,24.0
6844C,South Dakota,4,0,False,19.7,3601.0,15.3,7.9,7.4,3.4,0.09,1.4,37.0,17.0
6844D,South Dakota,5,0,False,18.0,5344.0,6.7,12.1,-5.4,2.9,0.0,0.8,10.0,3.0
6844E,South Dakota,6,0,False,20.9,2458.0,6.0,8.8,-2.7,2.6,0.0,0.9,20.0,8.0
7686A,South Dakota,14,2,True,27.4,14.0,18.8,7.7,11.0,3.5,0.24,1.8,55.0,45.0
7686N,South Dakota,6,0,False,20.6,2734.0,8.6,11.1,-2.5,2.9,0.02,1.1,32.0,0.0
7686X,South Dakota,11,1,True,23.7,695.0,12.3,11.6,0.8,3.2,0.08,1.1,49.0,17.0
9050B,South Dakota,7,0,False,18.9,4403.0,6.1,10.5,-4.4,2.9,0.02,0.9,10.0,0.0
9050E,South Dakota,7,0,False,21.2,2203.0,8.6,11.0,-2.4,2.8,0.0,1.1,22.0,0.0
9050F,South Dakota,8,0,True,23.2,895.0,14.3,7.9,6.5,3.8,0.08,1.4,31.0,0.0
57013J,South Dakota,2,0,False,15.6,7907.0,7.2,12.7,-5.6,3.8,0.0,0.7,13.0,0.0
57013M,South Dakota,5,1,False,17.3,6161.0,3.0,14.9,-11.9,2.2,0.1,0.6,10.0,0.0
89910A,South Dakota,6,0,False,18.0,5344.0,4.2,10.7,-6.5,2.7,0.0,0.9,19.0,0.0
99515A,South Dakota,6,0,False,20.3,3012.0,8.1,8.3,-0.2,3.2,0.02,0.9,12.0,0.0
99515C,South Dakota,6,0,False,18.0,5344.0,6.5,8.0,-1.4,3.1,0.06,1.1,8.0,0.0
99515D,South Dakota,6,0,False,20.3,3012.0,9.5,10.1,-0.6,3.1,0.0,1.0,17.0,0.0
99515E,South Dakota,6,0,False,18.7,4605.0,5.0,11.1,-6.1,2.0,0.03,0.7,20.0,0.0
282S,United Kingdom,9,0,False,22.9,1042.0,13.4,7.2,6.2,3.1,0.1,1.4,38.0,3.0
1197X,United Kingdom,8,0,False,19.5,3781.0,3.6,9.8,-6.2,2.8,0.04,0.8,29.0,0.0
1197Z,United Kingdom,10,0,True,24.3,477.0,12.2,7.9,4.3,3.2,0.1,1.5,40.0,31.0
1408C,United Kingdom,7,0,False,21.4,2059.0,12.1,7.6,4.5,3.2,0.0,1.3,35.0,5.0
1408H,United Kingdom,8,0,False,20.5,2838.0,9.1,12.0,-2.9,2.4,0.05,0.9,37.0,21.0
